5,0,8,5,0,5
9,50,8,8,0,5
10,40,3,8,40,3
11,20,3,9,30,3
11,30,5,9,50,5
12,10,3,10,30,3
12,50,5,11,10,3
13,40,5,11,20,3
14,20,3,12,0,5
15,0,3,,,
16,40,3,,,
16,41,5,,,
16,42,8,,,

